START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,weekday,month,day_type,part_of_day
11/01/2016 13:32,11/01/2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,13,Monday,1,Weekday,Afternoon
11/01/2016 14:30,11/01/2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,14,Monday,1,Weekday,Afternoon
12/01/2016 12:33,12/01/2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,12,Tuesday,1,Weekday,Afternoon
12/01/2016 12:53,12/01/2016 13:09,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain,12,Tuesday,1,Weekday,Afternoon
12/01/2016 14:42,12/01/2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,14,Tuesday,1,Weekday,Afternoon
12/01/2016 15:13,12/01/2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,15,Tuesday,1,Weekday,Afternoon
12/01/2016 15:42,12/01/2016 15:54,Business,Hell's Kitchen,Midtown,2,Errand/Supplies,15,Tuesday,1,Weekday,Afternoon
12/01/2016 16:02,12/01/2016 17:00,Business,New York,Queens County,15.1,Meeting,16,Tuesday,1,Weekday,Afternoon
13/01/2016 13:54,13/01/2016 14:07,Business,Downtown,Gulfton,11.2,Meeting,13,Wednesday,1,Weekday,Afternoon
13/01/2016 15:00,13/01/2016 15:28,Business,Gulfton,Downtown,11.8,Meeting,15,Wednesday,1,Weekday,Afternoon
14/01/2016 16:29,14/01/2016 17:05,Business,Houston,Houston,21.9,Customer Visit,16,Thursday,1,Weekday,Afternoon
14/01/2016 21:39,14/01/2016 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,21,Thursday,1,Weekday,Night
15/01/2016 11:43,15/01/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain,11,Friday,1,Weekday,Morning
15/01/2016 13:26,15/01/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain,13,Friday,1,Weekday,Afternoon
18/01/2016 14:55,18/01/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain,14,Monday,1,Weekday,Afternoon
18/01/2016 16:13,18/01/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,16,Monday,1,Weekday,Afternoon
19/01/2016 9:09,19/01/2016 9:23,Business,Whitebridge,Lake Wellingborough,7.2,Personal,9,Tuesday,1,Weekday,Morning
19/01/2016 10:55,19/01/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,10,Tuesday,1,Weekday,Morning
20/01/2016 10:36,20/01/2016 11:11,Business,Cary,Raleigh,17.1,Meeting,10,Wednesday,1,Weekday,Morning
20/01/2016 11:48,20/01/2016 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting,11,Wednesday,1,Weekday,Morning
20/01/2016 13:25,20/01/2016 14:19,Business,Raleigh,Cary,40.2,Customer Visit,13,Wednesday,1,Weekday,Afternoon
21/01/2016 14:25,21/01/2016 14:29,Business,Cary,Cary,1.6,Errand/Supplies,14,Thursday,1,Weekday,Afternoon
21/01/2016 14:43,21/01/2016 14:51,Business,Cary,Cary,2.4,Meal/Entertain,14,Thursday,1,Weekday,Afternoon
21/01/2016 16:01,21/01/2016 16:06,Business,Cary,Cary,1,Meal/Entertain,16,Thursday,1,Weekday,Afternoon
26/01/2016 10:41,26/01/2016 10:50,Business,Whitebridge,Hazelwood,2,Meal/Entertain,10,Tuesday,1,Weekday,Morning
26/01/2016 12:33,26/01/2016 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,12,Tuesday,1,Weekday,Afternoon
26/01/2016 16:24,26/01/2016 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,16,Tuesday,1,Weekday,Afternoon
26/01/2016 17:17,26/01/2016 17:22,Business,Cary,Cary,1.4,Errand/Supplies,17,Tuesday,1,Weekday,Evening
26/01/2016 17:27,26/01/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,17,Tuesday,1,Weekday,Evening
27/01/2016 9:24,27/01/2016 9:31,Business,Cary,Cary,1.8,Meeting,9,Wednesday,1,Weekday,Morning
27/01/2016 10:19,27/01/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,10,Wednesday,1,Weekday,Morning
27/01/2016 12:34,27/01/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,12,Wednesday,1,Weekday,Afternoon
27/01/2016 14:05,27/01/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,14,Wednesday,1,Weekday,Afternoon
27/01/2016 14:46,27/01/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,14,Wednesday,1,Weekday,Afternoon
28/01/2016 12:28,28/01/2016 13:00,Business,Cary,Raleigh,19,Temporary Site,12,Thursday,1,Weekday,Afternoon
28/01/2016 15:11,28/01/2016 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,15,Thursday,1,Weekday,Afternoon
28/01/2016 16:21,28/01/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,16,Thursday,1,Weekday,Afternoon
29/01/2016 9:31,29/01/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,9,Friday,1,Weekday,Morning
29/01/2016 10:56,29/01/2016 11:07,Business,Cary,Cary,5.2,Meeting,10,Friday,1,Weekday,Morning
29/01/2016 11:43,29/01/2016 12:03,Business,Cary,Durham,10.4,Meeting,11,Friday,1,Weekday,Morning
29/01/2016 13:24,29/01/2016 13:47,Business,Durham,Cary,10.1,Meeting,13,Friday,1,Weekday,Afternoon
29/01/2016 18:31,29/01/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,18,Friday,1,Weekday,Evening
29/01/2016 21:21,29/01/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,21,Friday,1,Weekday,Night
30/01/2016 16:21,30/01/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,16,Saturday,1,Weekend,Afternoon
30/01/2016 18:09,30/01/2016 18:24,Business,Apex,Cary,5.7,Customer Visit,18,Saturday,1,Weekend,Evening
01/02/2016 10:35,01/02/2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,10,Monday,2,Weekday,Morning
01/02/2016 12:10,01/02/2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,12,Monday,2,Weekday,Afternoon
01/02/2016 12:56,01/02/2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,12,Monday,2,Weekday,Afternoon
02/02/2016 13:04,02/02/2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,13,Tuesday,2,Weekday,Afternoon
02/02/2016 13:51,02/02/2016 14:06,Business,Cary,Cary,6,Errand/Supplies,13,Tuesday,2,Weekday,Afternoon
02/02/2016 14:38,02/02/2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,14,Tuesday,2,Weekday,Afternoon
04/02/2016 8:40,04/02/2016 9:01,Business,Cary,Morrisville,5.2,Errand/Supplies,8,Thursday,2,Weekday,Morning
04/02/2016 9:37,04/02/2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain,9,Thursday,2,Weekday,Morning
04/02/2016 10:26,04/02/2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain,10,Thursday,2,Weekday,Morning
04/02/2016 15:59,04/02/2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain,15,Thursday,2,Weekday,Afternoon
04/02/2016 16:35,04/02/2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain,16,Thursday,2,Weekday,Afternoon
04/02/2016 18:04,04/02/2016 18:31,Business,Whitebridge,Macgregor Downs,9,Meeting,18,Thursday,2,Weekday,Evening
04/02/2016 20:36,04/02/2016 20:55,Business,Cary,Cary,7.7,Meeting,20,Thursday,2,Weekday,Evening
05/02/2016 11:47,05/02/2016 12:07,Business,Cary,Durham,10.4,Meeting,11,Friday,2,Weekday,Morning
05/02/2016 13:22,05/02/2016 13:41,Business,Durham,Cary,10.4,Meeting,13,Friday,2,Weekday,Afternoon
06/02/2016 16:20,06/02/2016 16:53,Business,Cary,Raleigh,11.4,Between Offices,16,Saturday,2,Weekend,Afternoon
06/02/2016 18:57,06/02/2016 19:21,Business,Raleigh,Cary,9,Errand/Supplies,18,Saturday,2,Weekend,Evening
06/02/2016 19:28,06/02/2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,19,Saturday,2,Weekend,Evening
07/02/2016 16:49,07/02/2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies,16,Sunday,2,Weekend,Afternoon
07/02/2016 18:03,07/02/2016 18:17,Business,Apex,Cary,5.7,Customer Visit,18,Sunday,2,Weekend,Evening
07/02/2016 18:39,07/02/2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site,18,Sunday,2,Weekend,Evening
07/02/2016 20:22,07/02/2016 20:40,Business,Morrisville,Cary,6.1,Meeting,20,Sunday,2,Weekend,Evening
08/02/2016 12:57,08/02/2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,12,Monday,2,Weekday,Afternoon
08/02/2016 14:00,08/02/2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,14,Monday,2,Weekday,Afternoon
09/02/2016 10:54,09/02/2016 11:07,Personal,Whitebridge,Northwoods,5.3,Personal,10,Tuesday,2,Weekday,Morning
09/02/2016 11:43,09/02/2016 11:50,Personal,Northwoods,Tanglewood,3,Personal,11,Tuesday,2,Weekday,Morning
09/02/2016 13:36,09/02/2016 13:52,Personal,Tanglewood,Preston,5.1,Personal,13,Tuesday,2,Weekday,Afternoon
09/02/2016 13:58,09/02/2016 14:02,Personal,Preston,Whitebridge,1.5,Personal,13,Tuesday,2,Weekday,Afternoon
09/02/2016 18:55,09/02/2016 19:11,Business,Cary,Morrisville,6.1,Personal,18,Tuesday,2,Weekday,Evening
09/02/2016 20:24,09/02/2016 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain,20,Tuesday,2,Weekday,Evening
11/02/2016 16:28,11/02/2016 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain,16,Thursday,2,Weekday,Afternoon
11/02/2016 17:49,11/02/2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,17,Thursday,2,Weekday,Evening
11/02/2016 18:24,11/02/2016 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site,18,Thursday,2,Weekday,Evening
11/02/2016 20:36,11/02/2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site,20,Thursday,2,Weekday,Evening
12/02/2016 8:21,12/02/2016 8:42,Business,Cary,Durham,8.5,Temporary Site,8,Friday,2,Weekday,Morning
12/02/2016 10:45,12/02/2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site,10,Friday,2,Weekday,Morning
12/02/2016 11:14,12/02/2016 11:35,Business,Morrisville,Raleigh,17,Customer Visit,11,Friday,2,Weekday,Morning
12/02/2016 13:02,12/02/2016 13:36,Business,Raleigh,Cary,18,Meeting,13,Friday,2,Weekday,Afternoon
12/02/2016 14:49,12/02/2016 15:06,Business,Cary,Morrisville,8.4,Meeting,14,Friday,2,Weekday,Afternoon
12/02/2016 15:33,12/02/2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit,15,Friday,2,Weekday,Afternoon
13/02/2016 14:21,13/02/2016 14:41,Business,Cary,Morrisville,8.9,Meeting,14,Saturday,2,Weekend,Afternoon
13/02/2016 23:45,14/02/2016 0:01,Personal,East Elmhurst,Jackson Heights,2.7,Personal,23,Saturday,2,Weekend,Night
14/02/2016 14:07,14/02/2016 14:40,Business,East Elmhurst,New York,8.1,Meeting,14,Sunday,2,Weekend,Afternoon
14/02/2016 14:46,14/02/2016 15:03,Business,Midtown,Midtown West,2,Meeting,14,Sunday,2,Weekend,Afternoon
14/02/2016 16:35,14/02/2016 17:02,Business,New York,Long Island City,13,Meeting,16,Sunday,2,Weekend,Afternoon
14/02/2016 17:06,14/02/2016 17:29,Business,Long Island City,Jamaica,13.9,Meeting,17,Sunday,2,Weekend,Evening
16/02/2016 3:21,16/02/2016 4:13,Business,Katunayaka, Santa Monica,43.7,Customer Visit,3,Tuesday,2,Weekday,Late Night
16/02/2016 8:29,16/02/2016 9:34,Business,Los Angeles,Colombo,14.1,Personal,8,Tuesday,2,Weekday,Morning
16/02/2016 10:31,16/02/2016 10:41,Business,Colombo,Colombo,2.6,Personal,10,Tuesday,2,Weekday,Morning
16/02/2016 11:32,16/02/2016 12:02,Business,Colombo,Colombo,4.5,Personal,11,Tuesday,2,Weekday,Morning
16/02/2016 12:39,16/02/2016 12:42,Business,Colombo,Colombo,1.7,Personal,12,Tuesday,2,Weekday,Afternoon
16/02/2016 13:43,16/02/2016 13:55,Business,Colombo,Colombo,1.8,Temporary Site,13,Tuesday,2,Weekday,Afternoon
16/02/2016 16:34,16/02/2016 17:10,Business,Colombo,Colombo,6,Personal,16,Tuesday,2,Weekday,Afternoon
16/02/2016 17:17,16/02/2016 17:26,Business,Colombo,Nugegoda,1.1,Meal/Entertain,17,Tuesday,2,Weekday,Evening
16/02/2016 17:40,16/02/2016 17:44,Business,Nugegoda, Santa Monica,3.6,Errand/Supplies,17,Tuesday,2,Weekday,Evening
17/02/2016 13:18,17/02/2016 14:04,Business,Los Angeles,Colombo,14.7,Temporary Site,13,Wednesday,2,Weekday,Afternoon
17/02/2016 15:17,17/02/2016 15:22,Business,Colombo,Colombo,1.7,Meal/Entertain,15,Wednesday,2,Weekday,Afternoon
17/02/2016 15:33,17/02/2016 16:17,Business,Colombo,Katunayaka,21.4,Temporary Site,15,Wednesday,2,Weekday,Afternoon
17/02/2016 16:38,17/02/2016 16:43,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,16,Wednesday,2,Weekday,Afternoon
18/02/2016 8:19,18/02/2016 8:27,Business,Los Angeles, Santa Monica,23.5,Temporary Site,8,Thursday,2,Weekday,Morning
19/02/2016 9:02,19/02/2016 9:14,Business,Los Angeles, Santa Monica,18.3,Meeting,9,Friday,2,Weekday,Morning
19/02/2016 9:21,19/02/2016 9:51,Business,Los Angeles, Santa Monica,11.2,Meeting,9,Friday,2,Weekday,Morning
19/02/2016 20:34,19/02/2016 20:51,Personal,Los Angeles, Santa Monica,2.5,Personal,20,Friday,2,Weekday,Evening
20/02/2016 14:50,20/02/2016 15:54,Business,R?walpindi,R?walpindi,23.1,Meeting,14,Saturday,2,Weekend,Afternoon
20/02/2016 16:59,20/02/2016 17:54,Personal,R?walpindi, Santa Monica,16.5,Personal,16,Saturday,2,Weekend,Afternoon
20/02/2016 18:00,20/02/2016 18:03,Business,Los Angeles, Santa Monica,3.2,Errand/Supplies,18,Saturday,2,Weekend,Evening
20/02/2016 19:28,20/02/2016 19:49,Business,Los Angeles, Santa Monica,7.7,Errand/Supplies,19,Saturday,2,Weekend,Evening
21/02/2016 12:51,21/02/2016 13:12,Business,Los Angeles, Santa Monica,8.3,Temporary Site,12,Sunday,2,Weekend,Afternoon
21/02/2016 13:33,21/02/2016 14:30,Business,Los Angeles, Santa Monica,22.7,Temporary Site,13,Sunday,2,Weekend,Afternoon
21/02/2016 15:36,21/02/2016 15:41,Business,Noorpur Shahan, Santa Monica,2.2,Meal/Entertain,15,Sunday,2,Weekend,Afternoon
21/02/2016 16:04,21/02/2016 16:32,Business,Los Angeles, Santa Monica,9.7,Personal,16,Sunday,2,Weekend,Afternoon
21/02/2016 23:15,21/02/2016 23:52,Business,Los Angeles,R?walpindi,20,Meeting,23,Sunday,2,Weekend,Night
22/02/2016 21:54,22/02/2016 22:09,Business,Morrisville,Cary,8.1,Customer Visit,21,Monday,2,Weekday,Night
24/02/2016 14:30,24/02/2016 14:35,Business,Whitebridge,Preston,1.5,Personal,14,Wednesday,2,Weekday,Afternoon
24/02/2016 15:19,24/02/2016 15:25,Business,Preston,Whitebridge,1.7,Errand/Supplies,15,Wednesday,2,Weekday,Afternoon
25/02/2016 16:27,25/02/2016 16:35,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,16,Thursday,2,Weekday,Afternoon
25/02/2016 16:47,25/02/2016 17:02,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,16,Thursday,2,Weekday,Afternoon
25/02/2016 17:16,25/02/2016 17:36,Business,Whitebridge,Tanglewood,6,Meal/Entertain,17,Thursday,2,Weekday,Evening
25/02/2016 18:22,25/02/2016 18:39,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,18,Thursday,2,Weekday,Evening
26/02/2016 9:06,26/02/2016 9:29,Business,Whitebridge,Westpark Place,6.3,Personal,9,Friday,2,Weekday,Morning
26/02/2016 11:05,26/02/2016 11:11,Personal,Westpark Place,Whitebridge,1.7,Personal,11,Friday,2,Weekday,Morning
26/02/2016 11:35,26/02/2016 11:59,Business,Cary,Durham,10.6,Meeting,11,Friday,2,Weekday,Morning
26/02/2016 13:01,26/02/2016 13:24,Business,Durham,Cary,9.9,Meeting,13,Friday,2,Weekday,Afternoon
26/02/2016 14:38,26/02/2016 14:46,Personal,Whitebridge,Westpark Place,1.9,Personal,14,Friday,2,Weekday,Afternoon
26/02/2016 15:00,26/02/2016 15:18,Personal,Westpark Place,Hazelwood,4.2,Personal,15,Friday,2,Weekday,Afternoon
26/02/2016 17:01,26/02/2016 17:12,Personal,Hazelwood,Whitebridge,2,Personal,17,Friday,2,Weekday,Evening
28/02/2016 5:22,28/02/2016 5:38,Business,Whitebridge,Waverly Place,7.7,Meeting,5,Sunday,2,Weekend,Late Night
28/02/2016 9:26,28/02/2016 9:42,Business,Waverly Place,Whitebridge,6.8,Meeting,9,Sunday,2,Weekend,Morning
29/02/2016 11:07,29/02/2016 11:14,Personal,Whitebridge,Westpark Place,2.1,Personal,11,Monday,2,Weekday,Morning
29/02/2016 11:30,29/02/2016 11:40,Business,Cary,Apex,3.8,Meeting,11,Monday,2,Weekday,Morning
29/02/2016 12:36,29/02/2016 12:48,Business,Apex,Cary,5.6,Meeting,12,Monday,2,Weekday,Afternoon
29/02/2016 14:55,29/02/2016 15:03,Business,Whitebridge,Hazelwood,2.6,Personal,14,Monday,2,Weekday,Afternoon
29/02/2016 16:40,29/02/2016 17:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,16,Monday,2,Weekday,Afternoon
01/03/2016 18:47,01/03/2016 19:10,Business,Whitebridge,Wayne Ridge,8,Meal/Entertain,18,Tuesday,3,Weekday,Evening
01/03/2016 21:27,01/03/2016 21:45,Business,Wayne Ridge,Whitebridge,8,Meeting,21,Tuesday,3,Weekday,Night
03/03/2016 9:45,03/03/2016 9:52,Personal,Whitebridge,Westpark Place,2.2,Personal,9,Thursday,3,Weekday,Morning
03/03/2016 11:04,03/03/2016 11:10,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,11,Thursday,3,Weekday,Morning
03/03/2016 14:44,03/03/2016 14:58,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,14,Thursday,3,Weekday,Afternoon
03/03/2016 15:27,03/03/2016 15:48,Business,Cary,Raleigh,7.6,Customer Visit,15,Thursday,3,Weekday,Afternoon
03/03/2016 16:02,03/03/2016 16:42,Business,Raleigh,Cary,17.3,Meeting,16,Thursday,3,Weekday,Afternoon
04/03/2016 7:47,04/03/2016 8:06,Business,Cary,Durham,9.9,Meeting,7,Friday,3,Weekday,Morning
04/03/2016 9:46,04/03/2016 10:03,Business,Durham,Cary,9.9,Customer Visit,9,Friday,3,Weekday,Morning
04/03/2016 11:46,04/03/2016 12:06,Business,Cary,Durham,10.4,Meeting,11,Friday,3,Weekday,Morning
04/03/2016 13:03,04/03/2016 13:25,Business,Durham,Cary,10.9,Meeting,13,Friday,3,Weekday,Afternoon
04/03/2016 13:40,04/03/2016 14:09,Business,Cary,Raleigh,15.7,Customer Visit,13,Friday,3,Weekday,Afternoon
04/03/2016 15:56,04/03/2016 16:08,Business,Raleigh,Raleigh,4.9,Meal/Entertain,15,Friday,3,Weekday,Afternoon
04/03/2016 16:16,04/03/2016 16:22,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,16,Friday,3,Weekday,Afternoon
04/03/2016 16:43,04/03/2016 17:12,Business,Raleigh,Cary,13.5,Meeting,16,Friday,3,Weekday,Afternoon
04/03/2016 19:02,04/03/2016 19:08,Business,Cary,Morrisville,1.9,Temporary Site,19,Friday,3,Weekday,Evening
04/03/2016 19:16,04/03/2016 19:25,Business,Morrisville,Cary,2,Meal/Entertain,19,Friday,3,Weekday,Evening
05/03/2016 11:44,05/03/2016 11:59,Business,Cary,Morrisville,6.5,Meal/Entertain,11,Saturday,3,Weekend,Morning
05/03/2016 12:57,05/03/2016 13:12,Personal,Weston,Weston,4.2,Personal,12,Saturday,3,Weekend,Afternoon
05/03/2016 14:08,05/03/2016 14:18,Personal,Morrisville,Cary,3.5,Personal,14,Saturday,3,Weekend,Afternoon
05/03/2016 14:39,05/03/2016 15:01,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,14,Saturday,3,Weekend,Afternoon
05/03/2016 16:52,05/03/2016 17:13,Business,Cary,Morrisville,7.8,Meal/Entertain,16,Saturday,3,Weekend,Afternoon
05/03/2016 17:23,05/03/2016 17:34,Business,Morrisville,Cary,3.9,Meal/Entertain,17,Saturday,3,Weekend,Evening
07/03/2016 9:10,07/03/2016 9:20,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,9,Monday,3,Weekday,Morning
07/03/2016 9:23,07/03/2016 9:47,Business,Cary,Raleigh,12.4,Customer Visit,9,Monday,3,Weekday,Morning
07/03/2016 12:10,07/03/2016 12:26,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,12,Monday,3,Weekday,Afternoon
07/03/2016 13:57,07/03/2016 14:18,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,13,Monday,3,Weekday,Afternoon
07/03/2016 15:19,07/03/2016 15:45,Business,Raleigh,Cary,11.9,Between Offices,15,Monday,3,Weekday,Afternoon
08/03/2016 14:38,08/03/2016 14:55,Business,Whitebridge,Waverly Place,7.2,Between Offices,14,Tuesday,3,Weekday,Afternoon
08/03/2016 15:35,08/03/2016 16:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,15,Tuesday,3,Weekday,Afternoon
08/03/2016 16:13,08/03/2016 16:25,Personal,Whitebridge,Whitebridge,1.6,Personal,16,Tuesday,3,Weekday,Afternoon
10/03/2016 3:36,10/03/2016 3:53,Business,Cary,Morrisville,8.4,Meeting,3,Thursday,3,Weekday,Late Night
10/03/2016 10:08,10/03/2016 10:37,Business,East Austin,West University,12.8,Meeting,10,Thursday,3,Weekday,Morning
10/03/2016 14:39,10/03/2016 14:55,Business,West University,South Congress,2.3,Personal,14,Thursday,3,Weekday,Afternoon
10/03/2016 16:18,10/03/2016 16:28,Business,South Congress,Arts District,1.6,Personal,16,Thursday,3,Weekday,Afternoon
11/03/2016 9:47,11/03/2016 9:59,Business,The Drag,Congress Ave District,2,Meal/Entertain,9,Friday,3,Weekday,Morning
11/03/2016 10:29,11/03/2016 10:36,Business,Congress Ave District,Downtown,0.8,Personal,10,Friday,3,Weekday,Morning
11/03/2016 11:57,11/03/2016 12:04,Business,Downtown,Red River District,1.2,Personal,11,Friday,3,Weekday,Morning
11/03/2016 13:43,11/03/2016 13:51,Business,Red River District,Downtown,1,Personal,13,Friday,3,Weekday,Afternoon
11/03/2016 19:21,11/03/2016 19:35,Business,South Congress,The Drag,2.1,Personal,19,Friday,3,Weekday,Evening
12/03/2016 9:13,12/03/2016 9:22,Business,The Drag,South Congress,2.2,Personal,9,Saturday,3,Weekend,Morning
12/03/2016 18:27,12/03/2016 18:37,Personal,South Congress,The Drag,1.9,Personal,18,Saturday,3,Weekend,Evening
13/03/2016 9:07,13/03/2016 9:37,Business,The Drag,Convention Center District,5.7,Meal/Entertain,9,Sunday,3,Weekend,Morning
13/03/2016 18:23,13/03/2016 18:43,Business,South Congress,North Austin,8.4,Meal/Entertain,18,Sunday,3,Weekend,Evening
13/03/2016 20:07,13/03/2016 20:28,Business,Georgian Acres,The Drag,6.2,Meal/Entertain,20,Sunday,3,Weekend,Evening
13/03/2016 20:39,13/03/2016 20:58,Business,The Drag,North Austin,10.5,Meal/Entertain,20,Sunday,3,Weekend,Evening
13/03/2016 21:11,13/03/2016 21:23,Business,North Austin,Coxville,7.2,Meal/Entertain,21,Sunday,3,Weekend,Night
13/03/2016 22:19,13/03/2016 22:39,Business,Coxville,The Drag,12.5,Personal,22,Sunday,3,Weekend,Night
14/03/2016 8:34,14/03/2016 8:49,Business,The Drag,South Congress,2,Errand/Supplies,8,Monday,3,Weekday,Morning
14/03/2016 18:39,14/03/2016 18:55,Business,South Congress,The Drag,2.7,Personal,18,Monday,3,Weekday,Evening
15/03/2016 8:45,15/03/2016 8:57,Business,The Drag,Convention Center District,2,Meal/Entertain,8,Tuesday,3,Weekday,Morning
15/03/2016 20:48,15/03/2016 21:01,Business,Downtown,The Drag,2.8,Meal/Entertain,20,Tuesday,3,Weekday,Evening
16/03/2016 11:34,16/03/2016 11:45,Business,The Drag,Congress Ave District,1.7,Meal/Entertain,11,Wednesday,3,Weekday,Morning
16/03/2016 14:44,16/03/2016 14:55,Business,Convention Center District,West University,2,Personal,14,Wednesday,3,Weekday,Afternoon
16/03/2016 18:43,16/03/2016 18:56,Business,West University,Congress Ave District,2.1,Meal/Entertain,18,Wednesday,3,Weekday,Evening
17/03/2016 12:52,17/03/2016 15:11,Business,Austin,Katy,136,Customer Visit,12,Thursday,3,Weekday,Afternoon
17/03/2016 15:16,17/03/2016 15:58,Business,Katy,Houston,30.2,Meeting,15,Thursday,3,Weekday,Afternoon
